student_id,student_name,course_id,course_title,difficulty,lessons_completed,total_lessons,lessons_remaining,time_spent_minutes,quizzes_attempted,average_score,score_per_lesson,completion_rate,progress,engagement_score,skill_level,completed,enrolled_date
STU0001,Fatima Nasir,4,Baking,Intermediate,0,8,8,10,0,0,0.0,10,10,5.0,Beginner,False,2026-07-10 11:26:29.369312
STU0001,Fatima Nasir,2,Soap Making,Beginner,5,8,3,75,2,68,13.6,54,54,61.0,Intermediate,False,2026-07-24 11:26:29.369396
STU0001,Fatima Nasir,3,Perfume Making,Intermediate,8,8,0,89,1,87,10.9,100,100,93.5,Advanced,True,2026-08-16 11:26:29.369534
STU0001,Fatima Nasir,1,Cream Making,Beginner,1,8,7,16,0,0,0.0,8,8,4.0,Beginner,False,2026-07-17 11:26:29.369608
STU0002,Layla Suleiman,4,Baking,Intermediate,7,8,1,106,0,0,0.0,86,86,43.0,Beginner,False,2026-08-02 11:26:29.369684
STU0002,Layla Suleiman,5,Chemical Making,Advanced,3,8,5,37,0,0,0.0,48,48,24.0,Beginner,False,2026-08-26 11:26:29.369725
STU0002,Layla Suleiman,2,Soap Making,Beginner,1,8,7,17,0,0,0.0,8,8,4.0,Beginner,False,2026-08-06 11:26:29.369761
STU0003,Musa Bello,3,Perfume Making,Intermediate,1,8,7,40,1,31,31.0,14,14,22.5,Beginner,False,2026-08-07 11:26:29.369825
STU0003,Musa Bello,1,Cream Making,Beginner,1,8,7,30,0,0,0.0,10,10,5.0,Beginner,False,2026-07-20 11:26:29.369887
STU0003,Musa Bello,5,Chemical Making,Advanced,3,8,5,39,2,53,17.7,46,46,49.5,Beginner,False,2026-08-03 11:26:29.369928
STU0004,Amina Khalil,3,Perfume Making,Intermediate,2,8,6,36,0,0,0.0,20,20,10.0,Beginner,False,2026-08-17 11:26:29.370068
STU0004,Amina Khalil,2,Soap Making,Beginner,6,8,2,59,3,65,10.8,83,83,74.0,Intermediate,False,2026-07-06 11:26:29.370117
STU0004,Amina Khalil,1,Cream Making,Beginner,6,8,2,68,4,71,11.8,69,69,70.0,Intermediate,False,2026-08-17 11:26:29.370159
STU0004,Amina Khalil,4,Baking,Intermediate,3,8,5,44,0,0,0.0,40,40,20.0,Beginner,False,2026-08-06 11:26:29.370198
